"","AMMaxT","AMMinT","MAT","AP","AtHRT","AtInfBOD","AtInfCOD","AtInfNH4.N","AtInfTN","AtInfTP","DC","Denitri","DO","EffBOD","EffCOD","EffNH4.N","EffTN","EffTP","F.M","HRT","IndConInf","IndPer","InfBOD","InfCOD","InfNH4.N","InfR","InfTN","InfTP","Lat","Lon","MIT","MLSS","MMT","NH4.N","Nitri","NO3.N","pH","Pop","ReInfBOD","ReInfCOD","SMP","SMT","SRT","SVI","Vol"
"ATLA1A",63.4686346863469,56.8870967741936,63.3333333333333,22.3476,21.1623,36.1878,69.091,27.4471,38.125,21.9155,1.0391,100,4.1411,5.793,14.4945,2.6971,28.6142,15.2788,6.2105,26.2766,1,1,7.7275,12.6732,32.1371,1.0349,27.8781,13.6575,84.6575,53.1092,23.2165,32.3844,37.6666666666667,10.2681,100,61.7075,49.6885,13.4533,65.6774,49.8654,11.2273,138.076923076923,22.5439,70.9532,1.2536
"ATLA1C",63.4686346863469,56.8870967741936,63.3333333333333,22.3476,21.1623,36.1878,69.091,27.4471,38.125,21.9155,1.0391,100,1.4333,5.793,14.4945,2.6971,28.6142,15.2788,6.2105,26.2766,1,1,7.7275,12.6732,32.1371,1.0349,27.8781,13.6575,84.6575,53.1092,23.2165,32.3844,37.6666666666667,10.2681,100,61.7075,49.6885,13.4533,65.6774,49.8654,11.2273,138.076923076923,22.5439,70.9532,1.2536
"ATLA2A",63.4686346863469,56.8870967741936,63.3333333333333,19.9807,21.1623,34.7445,69.091,79.3514,38.125,21.9155,1.6755,100,13.0771,6.7846,11.7794,2.6971,17.7448,10.5192,6.2105,26.2766,100,37.3,9.5145,31.5727,30.1982,1.425,65.7488,44.8493,84.6504,53.3248,27.8937,24.0298,96.3333333333333,2.0532,100,51.7453,42.1639,13.4533,65.6774,49.8654,11.0227,138.076923076923,6.7207,66.6216,1.3693
"ATLA3A",63.4686346863469,56.8870967741936,63.3333333333333,19.4345,21.1623,36.1878,69.091,27.4471,38.125,21.9155,1.1743,100,5.0077,5.793,14.4945,2.6971,28.6142,15.2788,6.2105,26.2766,1,1,7.7275,12.6732,32.1371,1.1091,27.8781,13.6575,84.9459,53.246,35.2992,32.3844,37.6666666666667,4.7915,100,1,40.541,13.4533,65.6774,49.8654,10.6136,138.076923076923,22.5439,80.4725,2.8936
"ATLA3B",63.4686346863469,56.8870967741936,63.3333333333333,19.4345,21.1623,36.1878,69.091,27.4471,38.125,21.9155,1.1743,100,5.1701,5.793,14.4945,2.6971,28.6142,15.2788,6.2105,26.2766,1,1,7.7275,12.6732,32.1371,1.1091,27.8781,13.6575,84.9459,53.246,35.2992,32.3844,37.6666666666667,4.7915,100,1,40.541,13.4533,65.6774,49.8654,10.6136,138.076923076923,22.5439,80.4725,2.8936
"ATLA3C",63.4686346863469,56.8870967741936,63.3333333333333,19.4345,21.1623,36.1878,69.091,27.4471,38.125,21.9155,1.1743,100,5.2243,5.793,14.4945,2.6971,28.6142,15.2788,6.2105,26.2766,1,1,7.7275,12.6732,32.1371,1.1091,27.8781,13.6575,84.9459,53.246,35.2992,32.3844,37.6666666666667,4.7915,100,1,40.541,13.4533,65.6774,49.8654,10.6136,138.076923076923,22.5439,80.4725,2.8936
"ATLA4A",63.4686346863469,56.8870967741936,63.3333333333333,19.389,21.1623,33.8329,69.091,27.4471,38.125,21.9155,1.3421,100,1.4874,5.793,11.7794,2.6971,25.3828,8.6154,6.2105,26.2766,1,1,7.7275,31.5727,30.1982,1.2602,65.7488,44.8493,84.8884,53.1809,29.4528,32.3844,37.6666666666667,4.7915,100,1,43.9344,13.4533,65.6774,49.8654,10.6136,138.076923076923,6.7207,80.4725,1.3693
"ATLA4C",63.4686346863469,56.8870967741936,63.3333333333333,19.389,21.1623,34.7445,69.091,27.4471,38.125,21.9155,1.3421,100,1.4874,5.793,11.7794,2.6971,25.3828,8.6154,6.2105,26.2766,1,1,7.7275,31.5727,30.1982,1.2602,65.7488,44.8493,84.8884,53.1809,29.4528,32.3844,37.6666666666667,4.7915,100,1,43.9344,13.4533,65.6774,49.8654,10.6136,138.076923076923,6.7207,80.4725,1.3693
"AUBR1A",74.4280442804428,87.2258064516129,92.6666666666667,44.56,59.7425,33.8329,31.7949,1.1414,100,80.4789,2.155,100,4.1411,9.0985,10.4421,9.2029,10.9881,15.2788,13.5053,56.8191,100,17.5,32.22,47.0814,58.826,2.3728,45.7075,66.0959,15.7791,94.121,71.937,36.5358,85.3333333333333,10.0574,100,55.1698,39.5082,8.5382,54.7259,50.3413,34.5455,100,23.6504,73.5383,6.8528
"AUBR1B",74.4280442804428,87.2258064516129,92.6666666666667,44.56,59.7425,33.8329,31.7949,1.1414,100,80.4789,2.155,100,5.7659,9.0985,10.4421,9.2029,10.9881,15.2788,13.5053,56.8191,100,17.5,32.22,47.0814,58.826,2.3728,45.7075,66.0959,15.7791,94.121,71.5472,36.5358,85.3333333333333,10.0574,100,55.1698,39.5082,8.5382,54.7259,50.3413,34.5455,100,23.6504,73.5383,6.8528
